FLIGHTNO,SRC,DES,DEP,ARR,DELAY
8655,Banglore,Raipur,15:43,19:55,119
8655,Banglore,Raipur,15:43,19:55,149
8512,Kolkata,Delhi,20:23,23:12,139
8655,Banglore,Raipur,15:43,19:55,112
8655,Banglore,Raipur,15:43,19:55,125
1210,Nagpur,Mumbai,12:10,14:20,18
1210,Nagpur,Mumbai,12:10,14:20,85
8512,Kolkata,Delhi,20:23,23:12,29
8512,Kolkata,Delhi,20:23,23:12,65
1210,Nagpur,Mumbai,12:10,14:20,11
8512,Kolkata,Delhi,20:23,23:12,127
8512,Kolkata,Delhi,20:23,23:12,-9
1210,Nagpur,Mumbai,12:10,14:20,149
1210,Nagpur,Mumbai,12:10,14:20,-5
1210,Nagpur,Mumbai,12:10,14:20,35
1210,Nagpur,Mumbai,12:10,14:20,111
8655,Banglore,Raipur,15:43,19:55,114
8512,Kolkata,Delhi,20:23,23:12,128
8655,Banglore,Raipur,15:43,19:55,107
8512,Kolkata,Delhi,20:23,23:12,43
8512,Kolkata,Delhi,20:23,23:12,131
1210,Nagpur,Mumbai,12:10,14:20,134
1210,Nagpur,Mumbai,12:10,14:20,101
8655,Banglore,Raipur,15:43,19:55,15
8655,Banglore,Raipur,15:43,19:55,89
1210,Nagpur,Mumbai,12:10,14:20,124
1210,Nagpur,Mumbai,12:10,14:20,120
8512,Kolkata,Delhi,20:23,23:12,-13
1210,Nagpur,Mumbai,12:10,14:20,68
1210,Nagpur,Mumbai,12:10,14:20,28
8512,Kolkata,Delhi,20:23,23:12,48
